Year Placed,Total Graduating students,Students placed,Median salary per annum(Rs.),Higher Studies Student,College,CollegeID,Program,Duration(Years)
2021,277,182,662000,4,R V College of Engineering,IR-E-C-1269,PG,2
2022,284,211,600000,4,R V College of Engineering,IR-E-C-1269,PG,2
2023,236,190,700000,3,R V College of Engineering,IR-E-C-1269,PG,2
2021,95,54,900000,11,Indian Institute of Technology Jammu,IR-E-U-0906,UG,4
2022,128,93,1600000,11,Indian Institute of Technology Jammu,IR-E-U-0906,UG,4
2023,179,134,1600000,16,Indian Institute of Technology Jammu,IR-E-U-0906,UG,4
2021,36,23,1100000,2,Indian Institute of Technology Jammu,IR-E-U-0906,PG,2
2022,46,36,1800000,4,Indian Institute of Technology Jammu,IR-E-U-0906,PG,2
2021,0,0,0,0,Indian Institute of Technology Jammu,IR-E-U-0906,PG,3
2022,0,0,0,0,Indian Institute of Technology Jammu,IR-E-U-0906,PG,3
2023,5,4,2737000,1,Indian Institute of Technology Jammu,IR-E-U-0906,PG,3
2021,597,453,1870000,73,Indian Institute of Technology Guwahati,IR-E-U-0053,UG,4
2022,649,583,2250000,43,Indian Institute of Technology Guwahati,IR-E-U-0053,UG,4
2023,697,639,2160000,51,Indian Institute of Technology Guwahati,IR-E-U-0053,UG,4
2021,659,258,1250000,242,Indian Institute of Technology Guwahati,IR-E-U-0053,PG,2
2022,567,357,1350000,190,Indian Institute of Technology Guwahati,IR-E-U-0053,PG,2
2021,765,694,1600000,41,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,4
2022,783,748,1896000,32,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,4
2023,954,915,2000000,35,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,4
2021,251,217,1600000,15,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,5
2022,265,241,1896000,24,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,5
2023,247,234,2150000,10,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG,5
2021,369,268,1600000,83,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG,2
2022,288,258,1800000,26,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG,2
2023,223,188,1200000,30,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG,2
2021,2001,1009,650000,186,Manipal Institute of Technology,IR-E-C-7252,UG,4
2022,1879,1090,800000,229,Manipal Institute of Technology,IR-E-C-7252,UG,4
2023,1664,1136,888250,281,Manipal Institute of Technology,IR-E-C-7252,UG,4
