Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2020-21,864,632,"1300000(Rupees
thirteen lakhs only)",120,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2021-22,896,826,"1600000(Rupees
Sixteen Lakhs only)",70,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2022-23,1153,977,"1700000(Rupees
Seventeen lakhs)",86,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2020-21,124,67,"1000000(Rupees ten
lakh only )",20,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2021-22,196,151,"1400000(Rupees
fourteen lakhs only)",20,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2022-23,135,93,"1500000(Rupees
Fifteen Lakhs only)",30,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2020-21,1730,1504,600000(Six Lakh),142,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2021-22,1751,1548,"750000(Seven Lakh
Fifty Thousand)",102,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2022-23,1806,1617,"760000(Seven Lakh
Sixty Thousand)",115,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2020-21,94,50,400000(Four Lakh),27,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG [2 Years Program(s)]
2021-22,84,50,"550000(Five Lakh Fifty
Thousand)",7,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG [2 Years Program(s)]
2020-21,80,65,400000(Four Lakh),9,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2021-22,62,50,"550000(Five lakh fifty
thousand)",2,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2022-23,45,33,"550000(Five lakh fifty
thousand)",12,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2020-21,1121,877,"550000(Five Lakh Fifty
thousand Only)",233,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2021-22,1124,897,"615000(Six Lakh
Fifteen Thousand
Only)",140,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2022-23,1121,841,"800000(Eight Lakh
Rupees only )",167,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2020-21,177,136,"550000(Five Lakh fifty
thousand Only)",8,M S Ramaiah Institute of Technology,IR-E-C-1331,PG [2 Years Program(s)]
2021-22,181,142,"600000(Six Lakhs
Only)",5,M S Ramaiah Institute of Technology,IR-E-C-1331,PG [2 Years Program(s)]
